Date,MM,NA
8/1/2020,07:00-18:00,07:00-18:00
8/2/2020,07:00-18:00,07:00-18:00
8/3/2020,07:00-18:00,07:00-18:00
8/4/2020,07:00-18:00,07:00-18:00
8/5/2020,07:00-18:00,07:00-18:00
8/6/2020,07:00-18:00,07:00-18:00
8/7/2020,07:00-18:00,07:00-18:00
8/8/2020,07:00-18:00,07:00-18:00
8/9/2020,07:00-18:00,07:00-18:00
8/10/2020,07:00-18:00,07:00-18:00
8/11/2020,07:00-18:00,07:00-18:00
8/12/2020,07:00-18:00,07:00-18:00
8/13/2020,05:57-18:00,05:57-18:00
8/14/2020,07:00-18:00,07:00-18:00
8/15/2020,07:00-18:00,07:00-18:00
8/16/2020,07:00-18:00,07:00-18:00
8/17/2020,07:00-18:00,07:00-18:00
8/18/2020,07:00-18:00,07:00-18:00
8/19/2020,07:00-18:00,07:00-18:00
8/20/2020,07:00-18:00,07:00-18:00
8/21/2020,07:00-18:00,07:00-18:00
8/22/2020,07:00-18:00,07:00-18:00
8/23/2020,07:00-18:00,07:00-18:00
8/24/2020,07:00-18:00,07:00-18:00
8/25/2020,07:00-18:00,07:00-18:00
8/26/2020,07:00-18:00,07:00-18:00
8/27/2020,07:00-18:00,07:00-18:00
8/28/2020,07:00-18:00,07:00-18:00
8/29/2020,07:00-18:00,07:00-18:00
8/30/2020,07:00-18:00,07:00-18:00
8/31/2020,07:00-18:00,07:00-18:00
