Date,DH,AF,AH,NB,MM,MA2,AM,AK,MA,NA3,PA,NA,NE,RJ,AR,AC
9/1/2020,,,,,,,,,,,,,,07:00-18:07, , 
9/2/2020,,,,,,,,,,,,,,07:00-18:06, , 
9/3/2020,,,,,,,,,,,,,,07:00-18:05, , 
9/4/2020,,,,,,,,,,,,,,07:00-18:04, , 
9/5/2020,,,,,,,,,,,,,,07:00-18:03, , 
9/6/2020,,,,,,,,,,,,,,07:00-18:02, , 
9/7/2020,,,,,,,,,,,,,,07:00-18:01, , 
9/8/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/9/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/10/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/11/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/12/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/13/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/14/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/15/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/16/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/17/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/18/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/19/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/20/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/21/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/22/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/23/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/24/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/25/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/26/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/27/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/28/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/29/2020,,,,,,,,,,,,,,07:00-18:00, , 
9/30/2020,,,,,,,,,,,,,,07:00-18:00, , 
