Date,PA,MA,AM,NA3,RJ
09/1/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/2/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/3/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/4/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/5/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/6/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/7/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00, ,
09/8/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/9/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/10/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/11/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/12/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/13/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/14/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/15/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/16/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/17/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/18/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/19/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/20/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/21/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/22/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/23/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/24/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/25/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/26/2020,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,07:00-18:00,
09/27/2020, , ,07:00-18:00, ,07:00-18:00,
09/28/2020, , ,07:00-18:00, ,07:00-18:00,
09/29/2020, , ,07:00-18:00, ,07:00-18:00,
09/30/2020, , ,07:00-18:00, ,07:00-18:00,
